"","id","gender","height","religion","caste","mother_tongue","profession","location","country","age_of_marriage","weight"
"1",1,"female",178.308,"","others","Telugu","","London"," United Kingdom",21,68.4134855611954
"2",2,"male",188.214,"Jain"," Shwetamber","Gujarati","Doctor / Healthcare Professional","Fairfax- VA"," USA",32,84.3941932861905
"3",3,"male",188.214,"Hindu"," Brahmin","Hindi","Entrepreneurs / Business ","Begusarai"," India",32,72.2191304347561
"4",4,"female",165.1,"Hindu"," Thakur","Hindi","Architect","Mumbai"," India",30,74.5431709033193
"5",5,"male",181.61,"Christian"," Born Again","Malayalam","Sales Professional / Marketing","Sulthan Bathery"," India",30,71.0000345586357
"6",6,"male",181.61,"Hindu"," Valmiki","Hindi","Sportsman","Delhi"," India",29,62.9858754895739
"7",7,"female",171.704,"Hindu"," Rajput - Lodhi","Hindi","Banking Professional","Jodhpur"," India",28,70.5340158790081
"8",8,"male",181.61,"Hindu"," Bhatia","Punjabi","Entrepreneurs / Business ","Faridabad"," India",30,80.1706415822455
"9",9,"female",181.61,"Jain"," Shwetamber","Gujarati","Software Professional","Vadodara"," India",35,66.7085135903736
"10",10,"female",168.402,"Hindu"," Billava","Tulu","HR Professional","Bengaluru / Bangalore"," India",32,67.6186558828872
"11",11,"female",175.006,"","others","Tamil","Not working","Chennai"," India",29,67.3119918919541
"12",12,"male",194.818,"Hindu"," Brahmin","Bengali","Finance Professional","Suri"," India",32,80.1318838512452
"13",13,"male",168.402,"Hindu"," Vanniyar","Tamil","Not Specified","Vellore"," India",28,65.0834850495991
"14",14,"male",NA,"","others","","","Vilathikulam"," India",31,NA
"15",15,"female",168.402,"Hindu"," Agri","Marathi","Not Specified","Mumbai"," India",30,64.6632413856569
"16",16,"female",171.704,"Christian"," Marthoma","Malayalam","Not working","Kollam"," India",31,59.9591108387037
"17",17,"female",184.912,"","others","Marwari","","Bengaluru / Bangalore"," India",35,77.7139869182496
"18",18,"female",175.006,"Hindu"," Ahom","Assamese","Not working","Assam"," India",28,73.9849183774655
"19",19,"female",175.006,"Hindu"," Bhatia","Hindi","Chartered Accountant","Delhi"," India",28,77.8241544828845
"20",20,"male",178.308,"Hindu"," Baishnab","Bengali","Sales Professional / Marketing","Dhubri"," India",29,73.9728409821142
"21",21,"female",175.006,"Christian"," Roman Catholic","Hindi","Logistics and Travel Professional","Mumbai"," India",31,75.2690791947658
"22",22,"female",148.59,"","others","Bengali","Not working","Midnapore"," India",20,57.1837078237372
"23",23,"male",194.818,"Hindu"," Ahom","Assamese","Defense Services","Jorhat"," India",29,82.9033339457355
"24",24,"male",184.912,"Jain"," Shwetamber","Hindi","Entrepreneurs / Business ","Vadodara"," India",35,81.4215918660073
"25",25,"female",175.006,"Hindu"," Brahmin","Marathi","Software Professional","Pleasanton- CA"," USA",29,75.4659398929865
"26",26,"female",178.308,"Hindu"," Agri","Marathi","Doctor / Healthcare Professional","Raigad"," India",28,76.0052677331323
"27",27,"male",188.214,"","others","Tamil","Marketing Professional","Bengaluru / Bangalore"," India",35,76.4564689415951
"28",28,"male",168.402,"Hindu"," Lingayath","Kannada","Software Professional","San Francisco- CA"," USA",34,68.6504266588612
"29",29,"female",171.704,"Hindu"," Kalita","Assamese","Team Member / Staff","Assam"," India",29,69.4612786602112
"30",30,"male",168.402,"","others","Telugu","","Noida"," India",26,69.8116130008512
"31",31,"male",194.818,"Hindu"," Vaishnav","Gujarati","Managers and Senior Executives","Mumbai"," India",32,77.500957783593
"32",32,"",NA,"","others","Hindi","Not working","Kannauj"," India",27,NA
"33",33,"male",188.214,"","","Hindi","",""," India",33,73.4913695804268
"34",34,"male",168.7322,"Hindu"," Brahmin","Marathi","Not Specified","Mumbai"," India",32,59.2982605144037
"35",35,"male",168.7322,"","others","Malayalam","Hardware & Networking professional","Mumbai"," India",24,70.0261840936371
"36",36,"male",184.912,"Hindu"," Sahu","Hindi","Not Specified","Sagar"," India",27,64.6317931675694
"37",37,"male",184.912,"","others","Bengali","Civil Engineer","Kolkata"," India",25,65.6150938497356
"38",38,"female",175.006,"Hindu"," Baishya","Bengali","Chartered Accountant","Bengaluru / Bangalore"," India",29,70.2100980341954
"39",39,"female",191.516,"Hindu"," Sahu","Hindi","Admin Professional","Lucknow"," India",26,67.0755417673856
"40",40,"female",184.912,"Muslim"," Memon","Hindi","Accounting Professional (Others)","Berhampur"," India",26,74.4482467981721
"41",41,"female",175.006,"Hindu"," Brahmin","Hindi","Investment Professional","Lakhisarai"," India",30,73.1121681353449
"42",42,"male",NA,"","others","Telugu","Not Specified","Nizamabad"," India",25,NA
"43",43,"female",148.59,"Hindu"," Lingayath","Kannada","Not Specified","Mysuru / Mysore"," India",31,61.9831609090233
"44",44,"male",191.516,"Hindu"," Agarwal","Punjabi","Civil Engineer","Sydney"," Australia",30,70.1066790026176
"45",45,"male",168.7322,"Hindu"," Billava","Tulu","Consultant / Supervisor / Team Leads","Mumbai"," India",28,60.3622936498742
"46",46,"female",184.912,"Hindu"," Agarwal","Punjabi","Entrepreneurs / Business ","Panchkula"," India",27,78.6359583102566
"47",47,"male",188.214,"Hindu"," Sahu","Hindi","Public Relations Professional","Sagar"," India",27,76.5033049695338
"48",48,"male",194.818,"Hindu"," Rajput - Lodhi","Hindi","Sportsman","Bengaluru / Bangalore"," India",30,77.0307676013873
"49",49,"male",191.516,"Hindu"," Rajput - Lodhi","Hindi","Software Professional","Agra"," India",31,82.7300322128001
"50",50,"female",165.1,"Hindu"," Panchal","Hindi","Admin Professional","Karnal"," India",30,75.8238589410597
"51",51,"female",168.402,"Jain"," Shwetamber","Hindi","Finance Professional","Ahmedabad"," India",35,73.21275132794
"52",52,"male",168.402,"Hindu"," Baidya","Bengali","Banking Professional","Silchar"," India",30,69.4491624692567
"53",53,"female",214.63,"Hindu"," Kaibarta","Assamese","Not working","Sibsagar"," India",29,95.2138894750022
"54",54,"male",168.7322,"","others","","","Howra"," India",35,63.4594160685664
"55",55,"male",168.402,"Christian"," Marthoma","Malayalam","HR Professional","Kozhikode"," India",33,68.9348499775376
"56",56,"male",188.214,"Hindu"," Brahmin","Hindi","Managers and Senior Executives","Delhi"," India",32,77.5031495314802
"57",57,"male",194.818,"Hindu"," Agri","Marathi","Software Professional","Mumbai"," India",31,90.726446330552
"58",58,"female",178.308,"Hindu"," Sindhi-Sakkhar","Sindhi","Not Specified","Gwalior"," India",28,90.255662893453
"59",59,"female",171.704,"Hindu"," Rajput - Lodhi","Hindi","Not working","Aligarh"," India",27,73.5284632359979
"60",60,"female",168.402,"Hindu"," Baishya","Bengali","Not working","Kolkata"," India",27,57.4526481050791
"61",61,"male",184.912,"Hindu"," Viswabrahmin","Telugu","Training Professional (Others)","Tanuku"," India",29,75.2077722886889
"62",62,"female",181.61,"Hindu"," Patel","English","Hotel & Hospitality Professional (Others)","Dubai"," United Arab Emirates",30,69.5913632066995
"63",63,"female",194.818,"Jain"," Shwetamber","Marwari","Entrepreneurs / Business ","Siliguri"," India",35,81.3999116270207
"64",64,"female",178.308,"Hindu"," Patel","Gujarati","Software Professional (Others)","Ahmedabad"," India",29,70.5837523104453
"65",65,"female",171.704,"Hindu"," Baidya","Bengali","Nurse","Siliguri"," India",28,60.2873343705221
"66",66,"female",135.7122,"Hindu"," Scheduled Caste (SC)","Hindi","Accounting Professional (Others)","Mumbai"," India",34,55.8155476410724
"67",67,"male",168.7322,"Sikh"," Kshatriya","Punjabi","Not Specified","Punjab"," India",30,80.9988728293856
"68",68,"female",165.1,"Hindu"," Rajput - Lodhi","Hindi","Artist (Others)","Mumbai"," India",29,66.3408537128186
"69",69,"female",175.006,"Christian"," Marthoma","Malayalam","HR Professional","Mumbai"," India",32,64.7592019416567
"70",70,"female",178.308,"Christian"," Marthoma","Malayalam","Nurse","Chicago- IL"," USA",29,66.7834528533785
"71",71,"female",175.006,"Christian"," Born Again","Tamil","Software Professional","Coimbatore"," India",30,64.7540279181777
"72",72,"female",175.006,"Christian"," Marthoma","Malayalam","Non IT Engineer (Others)","Delhi"," India",31,63.2119545323755
"73",73,"male",168.402,"Hindu"," Brahmin","Marathi","Doctor / Healthcare Professional","Ratnagiri"," India",30,61.3657517844413
"74",74,"male",188.214,"Hindu"," Kalita","Assamese","Training Professional (Others)","Guwahati"," India",28,75.8742827242789
"75",75,"male",181.61,"Hindu"," Kaibarta","Odia","Defense Services","Orissa"," India",31,70.7639957705722
