"indicateurs","zones","regions","Unit","Date","Value"
"Population résidente par zone","Urban","SENEGAL","","1968","1223558.80753931"
"Population résidente par zone","Urban","SENEGAL","","1969","1270108.12646733"
"Population résidente par zone","Urban","SENEGAL","","1970","1318508.53444627"
"Population résidente par zone","Urban","SENEGAL","","1971","1377788.67815497"
"Population résidente par zone","Urban","SENEGAL","","1972","1439734.05712482"
"Population résidente par zone","Urban","SENEGAL","","1973","1504464.50033315"
"Population résidente par zone","Urban","SENEGAL","","1974","1572105.22426813"
"Population résidente par zone","Urban","SENEGAL","","1975","1642787.07515123"
"Population résidente par zone","Urban","SENEGAL","","1976","1683926"
"Population résidente par zone","Urban","SENEGAL","","1977","1770688"
"Population résidente par zone","Urban","SENEGAL","","1978","1840512"
"Population résidente par zone","Urban","SENEGAL","","1979","1912816"
"Population résidente par zone","Urban","SENEGAL","","1980","1987683"
"Population résidente par zone","Urban","SENEGAL","","1981","2065198"
"Population résidente par zone","Urban","SENEGAL","","1982","2145450"
"Population résidente par zone","Urban","SENEGAL","","1983","2228530"
"Population résidente par zone","Urban","SENEGAL","","1984","2314532"
"Population résidente par zone","Urban","SENEGAL","","1985","2403553"
"Population résidente par zone","Urban","SENEGAL","","1986","2495695"
"Population résidente par zone","Urban","SENEGAL","","1987","2591060"
"Population résidente par zone","Urban","SENEGAL","","1988","2653943"
"Population résidente par zone","Urban","SENEGAL","","1989","2799318"
"Population résidente par zone","Urban","SENEGAL","","1990","2879773"
"Population résidente par zone","Urban","SENEGAL","","1991","2962501"
"Population résidente par zone","Urban","SENEGAL","","1992","3047566"
"Population résidente par zone","Urban","SENEGAL","","1993","3135032"
"Population résidente par zone","Urban","SENEGAL","","1994","3224967"
"Population résidente par zone","Urban","SENEGAL","","1995","3317439"
"Population résidente par zone","Urban","SENEGAL","","1996","3412519"
"Population résidente par zone","Urban","SENEGAL","","1997","3510280"
"Population résidente par zone","Urban","SENEGAL","","1998","3610796"
"Population résidente par zone","Urban","SENEGAL","","1999","3714144"
"Population résidente par zone","Urban","SENEGAL","","2000","3820403"
"Population résidente par zone","Urban","SENEGAL","","2001","3914539"
"Population résidente par zone","Urban","SENEGAL","","2002","4008965"
"Population résidente par zone","Urban","SENEGAL","","2003","4282109"
"Population résidente par zone","Urban","SENEGAL","","2004","4437686"
"Population résidente par zone","Urban","SENEGAL","","2005","4598542"
"Population résidente par zone","Urban","SENEGAL","","2006","4764849"
"Population résidente par zone","Urban","SENEGAL","","2007","4936785"
"Population résidente par zone","Urban","SENEGAL","","2008","5114531"
"Population résidente par zone","Urban","SENEGAL","","2009","5298277"
"Population résidente par zone","Urban","SENEGAL","","2010","5488217"
"Population résidente par zone","Urban","SENEGAL","","2011","5684551"
"Population résidente par zone","Urban","SENEGAL","","2012","5887486"
"Population résidente par zone","Urban","SENEGAL","","2013","6102800"
"Population résidente par zone","Urban","SENEGAL","","2014","6363728"
"Population résidente par zone","Urban","SENEGAL","","2015","6598425"
"Population résidente par zone","Urban","SENEGAL","","2016","6839842"
"Population résidente par zone","Urban","SENEGAL","","2017","7089780"
"Population résidente par zone","Urban","SENEGAL","","2018","7344567"
"Population résidente par zone","Urban","Dakar","","1968","634297"
"Population résidente par zone","Urban","Dakar","","1969","664837"
"Population résidente par zone","Urban","Dakar","","1970","696847"
"Population résidente par zone","Urban","Dakar","","1971","730397"
"Population résidente par zone","Urban","Dakar","","1972","765562"
"Population résidente par zone","Urban","Dakar","","1973","802420"
"Population résidente par zone","Urban","Dakar","","1974","841051"
"Population résidente par zone","Urban","Dakar","","1975","881541"
"Population résidente par zone","Urban","Dakar","","1976","906033"
"Population résidente par zone","Urban","Dakar","","1977","948989"
"Population résidente par zone","Urban","Dakar","","1978","985439"
"Population résidente par zone","Urban","Dakar","","1979","1023289"
"Population résidente par zone","Urban","Dakar","","1980","1062593"
