"","zones","regions","Date","Population résidente par zone","Taux d'urbanisation","Repartition des ménages par zones","Taille des ménages"
"1","Urban","SENEGAL",2000,3820403,NA,537424.271006759,8.05885591292677
"2","Urban","SENEGAL",2001,3914539,NA,543366.75,8
"3","Urban","SENEGAL",2002,4008965,NA,504202,7.9
"4","Urban","SENEGAL",2003,4282109,NA,521853.898653323,8.20557065980609
"5","Urban","SENEGAL",2004,4437686,NA,540123.782808622,8.21605293651888
"6","Urban","SENEGAL",2005,4598542,NA,559033.287876803,8.22588186675583
"7","Urban","SENEGAL",2006,4764849,NA,578604.806715354,8.23506639962602
"8","Urban","SENEGAL",2007,4936785,NA,598861.516146227,8.24361650385543
"9","Urban","SENEGAL",2008,5114531,NA,619827.404402102,8.25154083253855
"10","Urban","SENEGAL",2009,5298277,NA,641527.299533533,8.25884881041066
"11","Urban","SENEGAL",2010,5488217,NA,663986.898810621,8.26554976090442
"12","Urban","SENEGAL",2011,5684551,NA,687232.799154013,8.27165215530442
"13","Urban","SENEGAL",2012,5887486,NA,711292.528631298,8.27716549178491
"14","Urban","SENEGAL",2013,6102800,NA,853760,7.14814467766117
"15","Urban","SENEGAL",2014,6363728,NA,888433.905342132,7.1628603565612
"16","Urban","SENEGAL",2015,6598425,NA,920261.245369872,7.17016502998337
"17","Urban","SENEGAL",2016,6839842,NA,952907.952716228,7.17786222740957
"18","Urban","SENEGAL",2017,7089780,NA,986658.151879769,7.18564984892958
"19","Urban","SENEGAL",2018,7344567,NA,1021022.42875671,7.19334540862479
"20","Urban","Dakar",2000,1996110,NA,288234,7.8
"21","Urban","Dakar",2001,2050709,NA,291280,8
"22","Urban","Dakar",2002,2106801,NA,286987,7.3
"23","Urban","Dakar",2003,2188900,NA,299917,7.3
"24","Urban","Dakar",2004,2260970,NA,313430,7.2
"25","Urban","Dakar",2005,2335413,NA,327552,7.1
"26","Urban","Dakar",2006,2412307,NA,342310,7.1
"27","Urban","Dakar",2007,2491732,NA,357733,6.99185015788547
"28","Urban","Dakar",2008,2573772,NA,373851,6.91509906462375
"29","Urban","Dakar",2009,2658514,NA,390696,6.8391889397881
"30","Urban","Dakar",2010,2746046,NA,408299,6.76411207588413
"31","Urban","Dakar",2011,2836460,NA,426695,6.68985999897598
"32","Urban","Dakar",2012,2929851,NA,445920,6.61642338775684
"33","Urban","Dakar",2013,3026316,NA,482479,6.23630854091178
"34","Urban","Dakar",2014,3117055,NA,496945,6.27243050992893
"35","Urban","Dakar",2015,3210787,NA,511889,6.27243050992893
"36","Urban","Dakar",2016,3305913,NA,527055,6.27243050992893
"37","Urban","Dakar",2017,3402246,NA,542413,6.27243050992893
"38","Urban","Dakar",2018,3499631,NA,557939,6.27243050992893
"39","Urban","Diourbel",2000,162153,NA,24490,8.1
"40","Urban","Diourbel",2001,164783,NA,22752,9
"41","Urban","Diourbel",2002,167456,NA,17716,9.45224655678483
"42","Urban","Diourbel",2003,173923,NA,18415,9.33794171919411
"43","Urban","Diourbel",2004,179605,NA,19142,9.2279256420499
"44","Urban","Diourbel",2005,185473,NA,19897,9.11899769927127
"45","Urban","Diourbel",2006,191533,NA,20682,9.01115472655124
"46","Urban","Diourbel",2007,197790,NA,21498,8.90437698640921
"47","Urban","Diourbel",2008,204252,NA,22346,8.79865886291532
"48","Urban","Diourbel",2009,210925,NA,23228,8.69399261768236
"49","Urban","Diourbel",2010,217816,NA,24144,8.59036853716364
"50","Urban","Diourbel",2011,224932,NA,25097,8.48777508895826
"51","Urban","Diourbel",2012,232281,NA,26087,8.9543946809392
"52","Urban","Diourbel",2013,239869,NA,25628,8.8460605905964
"53","Urban","Diourbel",2014,248527,NA,26553,9.35968471983768
"54","Urban","Diourbel",2015,256246,NA,27378,9.35968471983768
"55","Urban","Diourbel",2016,265898,NA,28409,9.35964951968755
"56","Urban","Diourbel",2017,274260,NA,29302,9.35968471983768
"57","Urban","Diourbel",2018,282931,NA,30229,9.35965163879799
